tau,CFC11,CFC12,CFC113,SF6,He4_ter,H3_tu
25165,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25164,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25163,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25162,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25161,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25160,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25159,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25158,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25157,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25156,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25155,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25154,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25153,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25152,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25151,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25150,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25149,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25148,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25147,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25146,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25145,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25144,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25143,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25142,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25141,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25140,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25139,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25138,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25137,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
