Timestep,PLM1,PLM7,PLM6
360.0,2786.826429379924,2780.746621612347,2762.381667893782
361.0,2786.7870086418047,2780.7090468644747,2762.3494750335185
362.0,2786.7491614228015,2780.6741818792652,2762.323240029456
363.0,2786.7100209762207,2780.639124277942,2762.2990146546726
364.0,2786.669959950584,2780.6046627031023,2762.2799385563276
365.0,2786.6353272114466,2780.5761193846147,2762.2636950912165
366.0,2786.6038647512296,2780.5518964699154,2762.2524452902435
367.0,2786.57175081013,2780.5278342086976,2762.2433807161037
368.0,2786.5388224886547,2780.5031457285854,2762.2350371179964
369.0,2786.5050160954215,2780.4771929158687,2762.224397231668
370.0,2786.471143153412,2780.4505041063794,2762.2120424171044
371.0,2786.4325689776806,2780.419342314447,2762.1977715096637
372.0,2786.3838635738725,2780.377839561014,2762.1775433671223
373.0,2786.3285356814863,2780.3287401504276,2762.152027306611
374.0,2786.2695487255905,2780.2753613917516,2762.1222154244642
375.0,2786.2134369484606,2780.224933859046,2762.0864500153325
376.0,2786.16097902494,2780.179193051564,2762.04940237496
377.0,2786.1107823449192,2780.1366031875787,2762.0171829458395
378.0,2786.061048494331,2780.0956053462996,2761.989738473823
379.0,2786.0104289255405,2780.0548624369903,2761.965308288009
380.0,2785.9564753485292,2780.0125006304015,2761.9425690233143
381.0,2785.8992390279836,2779.967190689156,2761.9201736322234
382.0,2785.839328954954,2779.918823898894,2761.8970403373287
383.0,2785.7784416727936,2779.868106296388,2761.8722946633407
384.0,2785.714826827958,2779.814399431158,2761.8459912242165
385.0,2785.652177761338,2779.760558931513,2761.820181679729
386.0,2785.6140432866114,2779.730236170336,2761.8154563101707
387.0,2785.6908123907338,2779.8120436961553,2761.889837027688
388.0,2785.9532601342326,2780.058374849913,2762.0854696010106
389.0,2786.468198328263,2780.497839461977,2762.3620710678733
390.0,2786.886583517344,2780.84462135858,2762.5515050800473
391.0,2787.0459110077836,2780.9647626880296,2762.5777459448886
392.0,2787.0682286217234,2780.977007317746,2762.5474559616955
393.0,2787.0288829661963,2780.9399718017894,2762.5149478638814
394.0,2786.9660822053334,2780.880920931208,2762.481115339331
395.0,2786.9032329369306,2780.820636793933,2762.4407179672367
396.0,2786.8490311657065,2780.768419470954,2762.4001588774304
397.0,2786.806093648807,2780.7271071030204,2762.36485841086
398.0,2786.7681795045823,2780.6915388619223,2762.3359139620343
399.0,2786.7298513295664,2780.656756016021,2762.3104437439806
400.0,2786.689705561015,2780.621523396085,2762.289521845358
401.0,2786.651834535603,2780.589483735288,2762.2715681351797
402.0,2786.619605803435,2780.563855941354,2762.2574984906287
403.0,2786.587901525774,2780.539887212417,2762.2477105296693
404.0,2786.5553791057123,2780.515600629679,2762.2389475955297
405.0,2786.522026951222,2780.4903733860638,2762.230403702282
406.0,2786.4880136132956,2780.463850082467,2762.2181175589662
407.0,2786.453144429292,2780.4361348476564,2762.205488130904
408.0,2786.4092947139275,2780.399798942857,2762.1884529780145
409.0,2786.3568946288956,2780.3540593386856,2762.16531768328
410.0,2786.2992423859423,2780.3022428796794,2762.137701552607
411.0,2786.2406976447464,2780.249297234755,2762.105122738666
412.0,2786.186832926204,2780.2015817107786,2762.0675085885323
413.0,2786.135719910556,2780.1576034099608,2762.0326038957583
414.0,2786.0860337116446,2780.1160496150014,2762.0029746369855
415.0,2786.0359266578516,2780.075265285181,2761.977246505453
416.0,2785.984207042352,2780.034155126556,2761.9538008096806
417.0,2785.928058541374,2779.9901104155774,2761.931404861862
418.0,2785.8695954220966,2779.9434798721545,2761.908803059097
419.0,2785.8091932447064,2779.8938277488437,2761.884890808451
420.0,2785.746917400379,2779.841615078543,2761.8593925368573
421.0,2785.683097283321,2779.787161430221,2761.8323922656855
422.0,2785.6245772244597,2779.7373395164313,2761.811731771886
423.0,2785.62374044285,2779.7447024299126,2761.836631956728
424.0,2785.776250626512,2779.8972973133336,2761.9630123231864
425.0,2786.184227661459,2780.2507697161036,2762.2105985986664
426.0,2786.7288567903925,2780.711155799686,2762.47892524489
427.0,2787.010404562649,2780.9422829066048,2762.5833442950698
428.0,2787.0839543600136,2780.996356049447,2762.5736001900264
429.0,2787.0637501653555,2780.9754639798375,2762.5408446659058
430.0,2787.004204877401,2780.9197134384026,2762.5075174171166
431.0,2786.935401563873,2780.853462977877,2762.4679035562467
432.0,2786.873868539909,2780.793755335797,2762.4240961773403
433.0,2786.8245313824063,2780.7456914611794,2762.383259845391
434.0,2786.784554363924,2780.7072693963687,2762.3495951240125
435.0,2786.7464298073896,2780.6719789971985,2762.3225256717737
436.0,2786.7071165759394,2780.6366736382356,2762.2978822252285
437.0,2786.667046379291,2780.60213288655,2762.278622832688
438.0,2786.632455327418,2780.573591181148,2762.2622814799433
439.0,2786.601164304001,2780.5494943026592,2762.250995397193
440.0,2786.5691557259315,2780.525535180721,2762.2419981876305
441.0,2786.5363534835606,2780.500947435143,2762.233730396716
442.0,2786.5026629226686,2780.4751167111026,2762.2231279136954
443.0,2786.468870808231,2780.448510492755,2762.210819442699
444.0,2786.4304092147177,2780.4174389646673,2762.1966603478613
445.0,2786.3819618017956,2780.3761305954235,2762.176563880548
446.0,2786.3268463593236,2780.327195898525,2762.1511412521745
447.0,2786.268082578656,2780.274010469757,2762.1213404934892
448.0,2786.2122744354806,2780.2238745054315,2762.0855418829633
449.0,2786.1600069572537,2780.178322490331,2762.0486416965296
450.0,2786.1099518639376,2780.1358723374115,2762.0166045761075
451.0,2786.0603024141897,2780.09496342598,2761.989279696487
452.0,2786.0097490579687,2780.0542885565724,2761.9649276219907
453.0,2785.9557994089305,2780.011943575477,2761.9422413639663
454.0,2785.898605276532,2779.966663069332,2761.9198806258883
455.0,2785.838725548026,2779.91831162564,2761.89676700039
456.0,2785.7778580665927,2779.8676109231274,2761.87203376932
457.0,2785.714247703585,2779.813905419039,2761.8457391934708
458.0,2785.651494338261,2779.7599625030975,2761.819811797616
459.0,2785.6107073246026,2779.728077426181,2761.8147892396087
460.0,2785.6800650798855,2779.802700742214,2761.885580848065
461.0,2785.9486840916916,2780.051961691439,2762.0785379152517
462.0,2786.474576529914,2780.498112844098,2762.3548298794267
463.0,2786.899917300921,2780.8552467278582,2762.5541628552005
464.0,2787.056453830173,2780.975668027804,2762.5835064964713
465.0,2787.0746830212765,2780.984913683859,2762.553575858688
466.0,2787.03194678705,2780.9444935653255,2762.520117559273
467.0,2786.966717126283,2780.882718261236,2762.4847585040447
468.0,2786.90232693135,2780.8206253717512,2762.4426751453934
469.0,2786.8472757636873,2780.767365149502,2762.4008010018356
470.0,2786.8038735246187,2780.72544925417,2762.364627928245
471.0,2786.765687524841,2780.6895399990076,2762.3351604187023
