,PLM1,PLM7,PLM6
tau1,82.63756431604502,122.86436089377841,139.41897127895376
tau1_10th,71.25878409885354,110.48769780564541,122.99394858955445
tau1_90th,112.94442890833649,157.38961023745674,184.45686211743416
