,PLM1,PLM7,PLM6
tau,227.8264361986264,892.4632072915998,2248.3254078696073
tau_10th,165.6755445160548,570.8978685015793,1464.6414941965122
tau_90th,1118.989197790982,3095.3674064082634,6110.421288448926
