model,K_soil,K_wshale,K_fshale,soil_rel_alpha,wshale_rel_alpha,soil_rel_n,wshale_rel_n
base,-4.6020599913279625,-5.3979400086720375,-7.657577319177793,1.82,0.52,1.79,1.6
127,-3.593062327967391,-4.294913734648133,-7.089887641634012,4.415024485165088,4.127707749159878,4.817367116456277,3.156116411258058
82,-3.374312327967391,-5.169913734648133,-7.683637641634012,0.4493994851650881,1.512082749159879,2.129867116456277,3.468616411258058
104,-4.280562327967391,-4.294913734648133,-7.027387641634012,3.5712744851650884,2.2714577491598784,3.442367116456277,2.781116411258058
37,-3.764937327967391,-4.513663734648133,-6.886762641634012,3.4447119851650885,3.3261452491598784,3.098617116456277,3.312366411258058
101,-3.780562327967391,-4.294913734648133,-6.527387641634012,2.2212744851650883,3.6214577491598794,4.442367116456277,1.7811164112580582
