  0.0000	  0.0000	330511.6986	4309336.2168	2933.6374
  1.0000	  1.5125	330513.0613	4309336.8732	2933.6374
  2.0000	  3.0250	330514.4240	4309337.5295	2933.5766
  3.0000	  4.5375	330515.7866	4309338.1859	2933.5311
  4.0000	  6.0500	330517.1493	4309338.8422	2933.5624
  5.0000	  7.5625	330518.5120	4309339.4986	2933.5500
  6.0000	  9.0750	330519.8746	4309340.1549	2933.4670
  7.0000	 10.5875	330521.2373	4309340.8113	2933.4399
  8.0000	 12.1000	330522.6000	4309341.4676	2933.4562
  9.0000	 13.6125	330523.9626	4309342.1240	2933.3568
 10.0000	 15.1250	330525.3253	4309342.7803	2933.3795
 11.0000	 16.6375	330526.6880	4309343.4367	2933.3170
 12.0000	 18.1500	330528.0507	4309344.0930	2933.3032
 13.0000	 19.6625	330529.4133	4309344.7493	2933.2261
 14.0000	 21.1750	330530.7760	4309345.4057	2933.1622
 15.0000	 22.6875	330532.1387	4309346.0620	2933.1081
 16.0000	 24.2000	330533.5013	4309346.7184	2933.0467
 17.0000	 25.7125	330534.8640	4309347.3747	2932.9879
 18.0000	 27.2250	330536.2267	4309348.0311	2932.8602
 19.0000	 28.7375	330537.5893	4309348.6874	2932.7874
 20.0000	 30.2500	330538.9520	4309349.3438	2932.6693
 21.0000	 31.7625	330540.3147	4309350.0001	2932.4928
 22.0000	 33.2750	330541.6773	4309350.6565	2932.3026
 23.0000	 34.7875	330543.0400	4309351.3128	2932.1002
 24.0000	 36.3000	330544.4027	4309351.9692	2932.1132
 25.0000	 37.8125	330545.7653	4309352.6255	2932.0536
 26.0000	 39.3250	330547.1280	4309353.2818	2931.7173
 27.0000	 40.8375	330548.4907	4309353.9382	2931.4307
 28.0000	 42.3500	330549.8533	4309354.5945	2931.2260
 29.0000	 43.8625	330551.2160	4309355.2509	2931.3232
 30.0000	 45.3750	330552.5787	4309355.9072	2931.3167
 31.0000	 46.8875	330553.9414	4309356.5636	2931.3198
 32.0000	 48.4000	330555.3040	4309357.2199	2931.3101
 33.0000	 49.9125	330556.6667	4309357.8763	2931.2583
 34.0000	 51.4250	330558.0294	4309358.5326	2931.2361
 35.0000	 52.9375	330559.3920	4309359.1890	2931.2181
 36.0000	 54.4500	330560.7547	4309359.8453	2931.2887
 37.0000	 55.9625	330562.1174	4309360.5017	2931.2216
 38.0000	 57.4750	330563.4800	4309361.1580	2931.1852
 39.0000	 58.9875	330564.8427	4309361.8144	2931.1899
 40.0000	 60.5000	330566.2054	4309362.4707	2931.2023
 41.0000	 62.0125	330567.5680	4309363.1270	2931.2159
 42.0000	 63.5250	330568.9307	4309363.7834	2931.2200
 43.0000	 65.0375	330570.2934	4309364.4397	2931.2531
 44.0000	 66.5500	330571.6560	4309365.0961	2931.2066
 45.0000	 68.0625	330573.0187	4309365.7524	2931.1585
 46.0000	 69.5750	330574.3814	4309366.4088	2931.0848
 47.0000	 71.0875	330575.7440	4309367.0651	2930.9419
 48.0000	 72.6000	330577.1067	4309367.7215	2930.5540
 49.0000	 74.1125	330578.4694	4309368.3778	2929.1697
 50.0000	 75.6250	330579.8321	4309369.0342	2928.3931
 51.0000	 77.1375	330581.1947	4309369.6905	2928.2851
 52.0000	 78.6500	330582.5574	4309370.3469	2928.1890
 53.0000	 80.1625	330583.9201	4309371.0032	2928.0027
 54.0000	 81.6750	330585.2827	4309371.6595	2927.9602
 55.0000	 83.1875	330586.6454	4309372.3159	2927.8298
 56.0000	 84.7000	330588.0081	4309372.9722	2927.8880
 57.0000	 86.2125	330589.3707	4309373.6286	2927.8324
 58.0000	 87.7250	330590.7334	4309374.2849	2927.8268
 59.0000	 89.2375	330592.0961	4309374.9413	2927.8878
 60.0000	 90.7500	330593.4587	4309375.5976	2927.8191
 61.0000	 92.2625	330594.8214	4309376.2540	2927.6733
 62.0000	 93.7750	330596.1841	4309376.9103	2927.7372
 63.0000	 95.2875	330597.5467	4309377.5667	2927.7461
 64.0000	 96.8000	330598.9094	4309378.2230	2927.6930
 65.0000	 98.3125	330600.2721	4309378.8794	2927.7568
 66.0000	 99.8250	330601.6348	4309379.5357	2927.7370
 67.0000	101.3375	330602.9974	4309380.1921	2927.7184
 68.0000	102.8500	330604.3601	4309380.8484	2927.7553
 69.0000	104.3625	330605.7228	4309381.5047	2927.7934
 70.0000	105.8750	330607.0854	4309382.1611	2927.6305
 71.0000	107.3875	330608.4481	4309382.8174	2927.5592
 72.0000	108.9000	330609.8108	4309383.4738	2927.4199
 73.0000	110.4125	330611.1734	4309384.1301	2927.2308
 74.0000	111.9250	330612.5361	4309384.7865	2927.1488
 75.0000	113.4375	330613.8988	4309385.4428	2926.9500
 76.0000	114.9500	330615.2614	4309386.0992	2926.7935
 77.0000	116.4625	330616.6241	4309386.7555	2926.5770
 78.0000	117.9750	330617.9868	4309387.4119	2926.3012
 79.0000	119.4875	330619.3494	4309388.0682	2926.1494
 80.0000	121.0000	330620.7121	4309388.7246	2925.7483
 81.0000	122.5125	330622.0748	4309389.3809	2925.4027
 82.0000	124.0250	330623.4374	4309390.0372	2925.1283
 83.0000	125.5375	330624.8001	4309390.6936	2924.6762
 84.0000	127.0500	330626.1628	4309391.3499	2924.1094
 85.0000	128.5625	330627.5255	4309392.0063	2923.7796
 86.0000	130.0750	330628.8881	4309392.6626	2923.5167
 87.0000	131.5875	330630.2508	4309393.3190	2923.6187
 88.0000	133.1000	330631.6135	4309393.9753	2923.5425
 89.0000	134.6125	330632.9761	4309394.6317	2923.4565
 90.0000	136.1250	330634.3388	4309395.2880	2923.3683
